part, word, group
when, ふと空を見上げた, all
when, 神と出会った, all
when, 隕石がおちそうな, all
when, 地球征服を目論んでいる, all
when, 人類滅亡の危機に瀕している, all
when, 月にクレーターを作っている, all
where, その隣, all
where, 目の前, all
where, すぐ近く, all
where, 一歩先, all
where, そこ, all
what, 素晴らしいアイデア, all
what, おいしいもの, all
what, おもしろいもの, all
what, 人に言いたくなるようなこと, all
what, 秘密にしておかなければならないこと, all
what, お金, all
what, 仕事, all
what, 人間関係, all
what, 人生, all
what, 食べ物, all
what, 高級品, all
what, ゲーム機, all
what, 本, all
what, スマホ, all
what, パソコン, all
what, 大事にしている電化製品, all
what, お気に入りの服, all
what, お気に入りの小物, all
what, なくしていたもの, all
how, 破壊する, all
how, 発見する, all
how, 無くす, all
how, 見つける, all
how, 買う, all
how, 捨てる, all
how, 掃除する, all
how, 片付ける, all
how, 運ぶ, all
how, 操縦する, all
how, 遊ぶ, all
how, 見る, all
how, 聞く, all
how, 読む, all
how, 誰かに知られる, all
